Subj_ID,age,agegroup,gender,list,training(TV),carrots_type,carrots_selectionType,carrots_location,carrots_target,carrots,hats_type,hats_selectionType,hats_location,hats_target,hats,cookies_type,cookies_selectionType,cookies_location,cookies_target,cookies,trains_type,trains_selectionType,trains_location,trains_target,trains,cats_type,cats_selectionType,cats_location,cats_target,cats,purses_type,purses_selectionType,purses_location,purses_target,purses,keys_type,keys_selectionType,keys_location,keys_target,keys,shirts_type,shirts_selectionType,shirts_location,shirts_target,shirts,breads_type,breads_selectionType,breads_location,breads_target,breads,horses_type,horses_selectionType,horses_location,horses_target,horses,bears_type,bears_selectionType,bears_location,bears_target,bears,frogs_type,frogs_selectionType,frogs_location,frogs_target,frogs,plates_type,plates_selectionType,plates_location,plates_target,plates,books_type,books_selectionType,books_location,books_target,books,elephants_type,elephants_selectionType,elephants_location,elephants_target,elephants,lamps_type,lamps_selectionType,lamps_location,lamps_target,lamps,bananas_type,bananas_selectionType,bananas_location,bananas_target,bananas,butterflies_type,butterflies_selectionType,butterflies_location,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
111414_01,4.3,4.0--4.5,f,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,some,3,3,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,SKA,,,,,,
111814_01,4.31,4.0--4.5,f,A,1,all,all,3,3,1,some,all,1,2,0,none,all,3,1,0,some,all,2,3,0,all,all,1,1,1,none,all,3,1,0,some,all,3,2,0,none,all,2,3,0,all,all,1,1,1,none,all,1,3,0,some,some,2,2,1,all,all,1,1,1,none,all,1,3,0,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,1,0,ACH,,,,,,
111414_03,4.39,4.0--4.5,m,C,1,some,all,3,2,0,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,all,1,2,0,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,all,1,2,0,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,all,2,3,0,all,all,2,2,1,none,none,1,1,1,SKA,,,,,,
111714_01,4.44,4.0--4.5,f,B,1,none,all,3,1,0,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,all,1,3,0,some,none,1,2,0,all,all,3,3,1,some,all,2,1,0,none,all,1,3,0,some,all,1,2,0,all,all,3,3,1,none,all,1,3,0,some,all,1,2,0,none,all,2,1,0,all,all,2,2,1,none,all,2,1,0,some,all,2,1,0,all,all,3,3,1,SKA,"chose ""all"" for every trial",,,,,
111714_03,4.53,4.5--5.0,m,A,1,all,all,3,3,1,all,all,1,1,1,none,all,3,1,0,some,all,2,3,0,all,all,1,1,1,none,none,1,1,1,some,all,3,2,0,none,all,2,3,0,all,all,1,1,1,none,all,1,3,0,some,all,3,2,0,all,all,1,1,1,none,all,1,3,0,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,2,0,SKA,"chose ""all"" for every trial",,,,,
120514_04,4.53,4.5--5.0,m,B,1,none,all,3,1,0,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,all,1,3,0,some,all,3,2,0,all,all,3,3,1,some,all,2,1,0,none,all,1,3,0,some,all,1,2,0,all,all,3,3,1,none,all,1,3,0,some,all,1,2,0,none,all,2,1,0,all,all,2,2,1,none,all,2,1,0,some,all,2,1,0,all,all,3,3,1,,,,,,,
111914_01,4.54,4.5--5.0,m,C,1,some,some,2,2,1,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,SKA,great clip ,,,,,
120314_05,4.54,4.5--5.0,m,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,some,3,3,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,SKA,,,,,,
120514_05,4.56,4.5--5.0,m,C,1,some,all,3,2,0,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,SKA,,,,,,
111714_02,4.57,4.5--5.0,m,C,1,some,some,2,2,1,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,CCK,100% correct,,,,,
120514_03,4.68,4.5--5.0,m,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,some,3,3,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,some,1,1,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,SKA,,,,,,
120514_07,4.7,4.5--5.0,f,B,1,none,none,1,1,1,all,all,1,1,1,some,some,2,2,1,all,all,2,2,1,none,none,3,3,1,some,some,3,2,0,all,all,3,3,1,some,some,2,1,0,none,none,3,3,1,some,some,1,2,0,all,all,3,3,1,none,none,3,3,1,some,some,1,2,0,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,2,1,0,all,all,3,3,1,SKA,,,,,,
120514_06,4.77,4.5--5.0,f,A,1,all,all,3,3,1,some,some,2,2,1,none,none,1,1,1,some,all,2,3,0,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,all,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,1,1,1,none,none,3,3,1,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,,,,,,,
111914_02,4.8,4.5--5.0,m,B,1,none,none,1,1,1,all,all,1,1,1,some,some,2,2,1,all,all,2,2,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,some,some,1,1,1,none,none,3,3,1,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,all,3,3,1,CCK,100% correct,,,,,
111414_02,4.93,4.5--5.0,m,B,1,none,none,1,1,1,all,all,1,1,1,some,some,2,2,1,all,all,2,2,1,none,all,1,3,0,some,some,2,2,1,all,all,3,3,1,some,some,1,1,1,none,all,1,3,0,some,some,2,2,1,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,some,1,1,1,all,all,3,3,1,ACH,,,,,,
112114_08,4.93,4.5--5.0,f,C,1,some,some,2,2,1,none,none,3,3,1,all,all,3,3,1,none,none,1,1,1,some,some,2,2,1,all,all,3,3,1,none,none,1,1,1,all,all,2,2,1,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,some,2,2,1,all,all,1,1,1,some,some,3,3,1,none,none,3,3,1,some,some,3,3,1,all,all,2,2,1,none,none,1,1,1,no video,,,,,,
